epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
136;1103.29;0.98151;0.37777;0.00667;0.84536;0.84138;0,81194;0,44286;140.209;0.85256;0.00932;0.00259905;0.00086635;0.00259905;0.00086635;0.00259905;0.00086635;0.00259905;0.00086635
82;665.434;117.936;0.54167;0.00841;0.68732;0.84615;0,8104;0,4515;125.457;0.80586;0.00779;0.00275943;0.00091981;0.00275943;0.00091981;0.00275943;0.00091981;0.00275943;0.00091981
88;713.921;129.801;0.54344;0.0094;0.73999;0.76923;0,81006;0,41822;138.684;0.95811;0.00895;0.00274161;0.00091387;0.00274161;0.00091387;0.00274161;0.00091387;0.00274161;0.00091387
56;454.743;129.424;0.59863;0.00898;0.65505;0.92308;0,80846;0,37694;150.272;0.58637;0.00955;0.00283665;0.00094555;0.00283665;0.00094555;0.00283665;0.00094555;0.00283665;0.00094555
155;1257.37;101.921;0.31963;0.00696;0.68155;0.84615;0,80781;0,45505;131.107;0.94477;0.00872;0.00254262;0.00084754;0.00254262;0.00084754;0.00254262;0.00084754;0.00254262;0.00084754
171;1387.09;100.657;0.30556;0.00677;0.67909;0.84615;0,80646;0,42954;142.543;0.72843;0.00919;0.0024951;0.0008317;0.0024951;0.0008317;0.0024951;0.0008317;0.0024951;0.0008317
85;689.662;135.167;0.4619;0.00922;0.82491;0.76923;0,80563;0,43198;139.167;0.76268;0.00886;0.00275052;0.00091684;0.00275052;0.00091684;0.00275052;0.00091684;0.00275052;0.00091684
110;892.183;107.118;0.41334;0.00746;0.70418;0.76923;0,80037;0,44603;126.389;0.74946;0.00831;0.00267627;0.00089209;0.00267627;0.00089209;0.00267627;0.00089209;0.00267627;0.00089209
46;373.618;144.388;0.83195;0.01035;0.64493;0.83874;0,79894;0,35623;138.406;0.84837;0.00852;0.00286635;0.00095545;0.00286635;0.00095545;0.00286635;0.00095545;0.00286635;0.00095545
107;867.904;105.187;0.50231;0.00696;0.95938;0.61538;0,79828;0,44227;130.723;0.80786;0.00868;0.00268518;0.00089506;0.00268518;0.00089506;0.00268518;0.00089506;0.00268518;0.00089506
130;1054.7;0.98001;0.36426;0.00638;0.74593;0.76923;0,79521;0,45187;133.019;0.77251;0.00857;0.00261687;0.00087229;0.00261687;0.00087229;0.00261687;0.00087229;0.00261687;0.00087229
96;778.699;11.012;0.38292;0.00759;0.805;0.63653;0,79209;0,49623;116.947;113.133;0.0073;0.00271785;0.00090595;0.00271785;0.00090595;0.00271785;0.00090595;0.00271785;0.00090595
99;803.111;114.242;0.42681;0.00821;0.85014;0.69231;0,78909;0,4426;128.461;0.95176;0.00834;0.00270894;0.00090298;0.00270894;0.00090298;0.00270894;0.00090298;0.00270894;0.00090298
95;770.623;124.158;0.421;0.00894;0.84326;0.69231;0,78895;0,49059;12.571;0.83838;0.0082;0.00272082;0.00090694;0.00272082;0.00090694;0.00272082;0.00090694;0.00272082;0.00090694
75;608.792;13.289;0.57361;0.00988;0.56597;0.90346;0,7885;0,39985;143.152;0.81932;0.00923;0.00278022;0.00092674;0.00278022;0.00092674;0.00278022;0.00092674;0.00278022;0.00092674
166;1346.37;0.89229;0.26912;0.00575;0.81053;0.69231;0,78682;0,42641;140.928;102.644;0.00965;0.00250995;0.00083665;0.00250995;0.00083665;0.00250995;0.00083665;0.00250995;0.00083665
37;300.955;146.577;0.7925;0.01083;0.71417;0.76882;0,77986;0,37148;15.251;0.66686;0.00952;0.00289308;0.00096436;0.00289308;0.00096436;0.00289308;0.00096436;0.00289308;0.00096436
100;811.155;114.253;0.45606;0.00772;0.87862;0.69231;0,77886;0,47178;127.755;0.86019;0.00835;0.00270597;0.00090199;0.00270597;0.00090199;0.00270597;0.00090199;0.00270597;0.00090199
81;657.352;128.629;0.52858;0.00874;0.76458;0.75061;0,77642;0,43842;128.318;0.85567;0.00796;0.0027624;0.0009208;0.0027624;0.0009208;0.0027624;0.0009208;0.0027624;0.0009208
163;1322.26;0.84939;0.26938;0.00563;0.62334;0.92308;0,77393;0,43082;13.166;0.99856;0.00875;0.00251886;0.00083962;0.00251886;0.00083962;0.00251886;0.00083962;0.00251886;0.00083962
106;859.872;102.075;0.48786;0.00711;0.85986;0.61538;0,77288;0,44089;12.388;11.527;0.00816;0.00268815;0.00089605;0.00268815;0.00089605;0.00268815;0.00089605;0.00268815;0.00089605
138;1119.47;104.674;0.31459;0.00781;0.6832;0.84615;0,77147;0,37914;143.525;103.836;0.00967;0.00259311;0.00086437;0.00259311;0.00086437;0.00259311;0.00086437;0.00259311;0.00086437
131;1062.71;0.97613;0.34745;0.00646;0.83101;0.75743;0,77127;0,41119;136.703;0.93655;0.00878;0.0026139;0.0008713;0.0026139;0.0008713;0.0026139;0.0008713;0.0026139;0.0008713
74;600.654;131.126;0.56663;0.00961;0.64218;0.84615;0,76958;0,39166;143.437;0.67173;0.00964;0.00278319;0.00092773;0.00278319;0.00092773;0.00278319;0.00092773;0.00278319;0.00092773
101;819.371;114.247;0.42836;0.00762;0.78562;0.61538;0,76795;0,4742;120.985;104.957;0.00774;0.002703;0.000901;0.002703;0.000901;0.002703;0.000901;0.002703;0.000901
102;827.49;11.695;0.42431;0.00788;0.88785;0.6096;0,76544;0,46439;122.621;109.957;0.00791;0.00270003;0.00090001;0.00270003;0.00090001;0.00270003;0.00090001;0.00270003;0.00090001
79;641.016;123.453;0.4324;0.00816;0.80499;0.69231;0,76521;0,35063;147.648;0.76997;0.00971;0.00276834;0.00092278;0.00276834;0.00092278;0.00276834;0.00092278;0.00276834;0.00092278
142;1151.93;106.658;0.404;0.00733;0.87625;0.61538;0,7644;0,41883;138.671;120.441;0.00894;0.00258123;0.00086041;0.00258123;0.00086041;0.00258123;0.00086041;0.00258123;0.00086041
39;317.192;14.904;0.87813;0.01036;0.64692;0.92308;0,76329;0,28619;162.448;0.94905;0.01024;0.00288714;0.00096238;0.00288714;0.00096238;0.00288714;0.00096238;0.00288714;0.00096238
94;762.496;107.947;0.45604;0.0073;0.76124;0.69231;0,76189;0,48345;125.264;0.91712;0.00823;0.00272379;0.00090793;0.00272379;0.00090793;0.00272379;0.00090793;0.00272379;0.00090793
139;1127.58;0.97522;0.36986;0.00664;0.72003;0.84615;0,76109;0,38042;151.792;116.091;0.00992;0.00259014;0.00086338;0.00259014;0.00086338;0.00259014;0.00086338;0.00259014;0.00086338
80;649.255;134.748;0.4582;0.00887;0.81629;0.68432;0,75825;0,37548;138.567;0.84862;0.00894;0.00276537;0.00092179;0.00276537;0.00092179;0.00276537;0.00092179;0.00276537;0.00092179
132;1070.71;102.982;0.4389;0.00721;0.82086;0.70593;0,75764;0,41018;138.086;0.89867;0.0089;0.00261093;0.00087031;0.00261093;0.00087031;0.00261093;0.00087031;0.00261093;0.00087031
143;1160.09;108.337;0.41282;0.00783;0.59724;0.91299;0,75556;0,42201;139.444;0.86145;0.00903;0.00257826;0.00085942;0.00257826;0.00085942;0.00257826;0.00085942;0.00257826;0.00085942
78;632.93;125.304;0.5041;0.00853;0.80916;0.69231;0,75547;0,34439;153.416;0.92555;0.01029;0.00277131;0.00092377;0.00277131;0.00092377;0.00277131;0.00092377;0.00277131;0.00092377
137;1111.26;104.608;0.38595;0.00721;0.66125;0.76923;0,74997;0,3976;141.969;10.428;0.0095;0.00259608;0.00086536;0.00259608;0.00086536;0.00259608;0.00086536;0.00259608;0.00086536
162;1314.23;0.94585;0.30522;0.0062;0.66345;0.75885;0,74807;0,45348;129.049;114.075;0.00852;0.00252183;0.00084061;0.00252183;0.00084061;0.00252183;0.00084061;0.00252183;0.00084061
