epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,681.494,1.29604,0.49652,0.00901,0.87758,0.61538,0.74074,0.36577,1.39339,0.96413,0.00897,0.00275349,0.00091783,0.00275349,0.00091783,0.00275349,0.00091783,0.00275349,0.00091783
85,689.662,1.35167,0.4619,0.00922,0.82491,0.76923,0.80563,0.43198,1.39167,0.76268,0.00886,0.00275052,0.00091684,0.00275052,0.00091684,0.00275052,0.00091684,0.00275052,0.00091684
86,697.657,1.19489,0.46493,0.00782,0.8884,0.69231,0.81914,0.45808,1.31207,0.74518,0.00833,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585
87,705.77,1.26631,0.4212,0.00868,0.8165,0.6852,0.86457,0.42708,1.37739,0.80619,0.00884,0.00274458,0.00091486,0.00274458,0.00091486,0.00274458,0.00091486,0.00274458,0.00091486
88,713.921,1.29801,0.54344,0.0094,0.73999,0.76923,0.81006,0.41822,1.38684,0.95811,0.00895,0.00274161,0.00091387,0.00274161,0.00091387,0.00274161,0.00091387,0.00274161,0.00091387
89,721.953,1.26627,0.51415,0.00846,0.68405,0.83341,0.82928,0.45032,1.37163,0.82078,0.00891,0.00273864,0.00091288,0.00273864,0.00091288,0.00273864,0.00091288,0.00273864,0.00091288
90,730.042,1.26585,0.44739,0.00876,0.88827,0.69231,0.84592,0.51803,1.26041,0.81951,0.00811,0.00273567,0.00091189,0.00273567,0.00091189,0.00273567,0.00091189,0.00273567,0.00091189
91,738.164,1.11235,0.39751,0.00793,0.941,0.61538,0.81989,0.51215,1.24667,0.68882,0.00809,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
92,746.42,1.24195,0.44796,0.00859,0.98565,0.69231,0.895,0.49782,1.26509,0.64651,0.00823,0.00272973,0.00090991,0.00272973,0.00090991,0.00272973,0.00090991,0.00272973,0.00090991
93,754.585,1.1195,0.399,0.0078,0.86891,0.69231,0.83793,0.49958,1.29314,0.72683,0.00842,0.00272676,0.00090892,0.00272676,0.00090892,0.00272676,0.00090892,0.00272676,0.00090892
94,762.496,1.07947,0.45604,0.0073,0.76124,0.69231,0.76189,0.48345,1.25264,0.91712,0.00823,0.00272379,0.00090793,0.00272379,0.00090793,0.00272379,0.00090793,0.00272379,0.00090793
95,770.623,1.24158,0.421,0.00894,0.84326,0.69231,0.78895,0.49059,1.2571,0.83838,0.0082,0.00272082,0.00090694,0.00272082,0.00090694,0.00272082,0.00090694,0.00272082,0.00090694
96,778.699,1.1012,0.38292,0.00759,0.805,0.63653,0.79209,0.49623,1.16947,1.13133,0.0073,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595
97,786.89,1.14651,0.40356,0.00761,0.77732,0.69231,0.73532,0.45465,1.2891,1.05758,0.00845,0.00271488,0.00090496,0.00271488,0.00090496,0.00271488,0.00090496,0.00271488,0.00090496
98,794.964,1.18984,0.41306,0.00813,0.61509,0.84615,0.73237,0.4195,1.30993,0.99346,0.00853,0.00271191,0.00090397,0.00271191,0.00090397,0.00271191,0.00090397,0.00271191,0.00090397
99,803.111,1.14242,0.42681,0.00821,0.85014,0.69231,0.78909,0.4426,1.28461,0.95176,0.00834,0.00270894,0.00090298,0.00270894,0.00090298,0.00270894,0.00090298,0.00270894,0.00090298
100,811.155,1.14253,0.45606,0.00772,0.87862,0.69231,0.77886,0.47178,1.27755,0.86019,0.00835,0.00270597,0.00090199,0.00270597,0.00090199,0.00270597,0.00090199,0.00270597,0.00090199
101,819.371,1.14247,0.42836,0.00762,0.78562,0.61538,0.76795,0.4742,1.20985,1.04957,0.00774,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
102,827.49,1.1695,0.42431,0.00788,0.88785,0.6096,0.76544,0.46439,1.22621,1.09957,0.00791,0.00270003,0.00090001,0.00270003,0.00090001,0.00270003,0.00090001,0.00270003,0.00090001
103,835.556,1.11217,0.44695,0.00735,0.75689,0.53846,0.6892,0.42664,1.22736,1.10617,0.00791,0.00269706,0.00089902,0.00269706,0.00089902,0.00269706,0.00089902,0.00269706,0.00089902
104,843.703,1.15527,0.4224,0.00787,0.64071,0.68631,0.72782,0.47909,1.24832,1.02049,0.00813,0.00269409,0.00089803,0.00269409,0.00089803,0.00269409,0.00089803,0.00269409,0.00089803
105,851.786,1.26044,0.40206,0.00819,0.67119,0.69231,0.73474,0.44918,1.32626,1.07445,0.0085,0.00269112,0.00089704,0.00269112,0.00089704,0.00269112,0.00089704,0.00269112,0.00089704
106,859.872,1.02075,0.48786,0.00711,0.85986,0.61538,0.77288,0.44089,1.2388,1.1527,0.00816,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605
107,867.904,1.05187,0.50231,0.00696,0.95938,0.61538,0.79828,0.44227,1.30723,0.80786,0.00868,0.00268518,0.00089506,0.00268518,0.00089506,0.00268518,0.00089506,0.00268518,0.00089506
108,876.049,1.17106,0.40506,0.00834,0.95902,0.69231,0.88937,0.47406,1.23789,0.71577,0.00811,0.00268221,0.00089407,0.00268221,0.00089407,0.00268221,0.00089407,0.00268221,0.00089407
109,884.192,1.15157,0.46578,0.0079,0.7498,0.76923,0.82824,0.44751,1.3232,0.69648,0.00865,0.00267924,0.00089308,0.00267924,0.00089308,0.00267924,0.00089308,0.00267924,0.00089308
110,892.183,1.07118,0.41334,0.00746,0.70418,0.76923,0.80037,0.44603,1.26389,0.74946,0.00831,0.00267627,0.00089209,0.00267627,0.00089209,0.00267627,0.00089209,0.00267627,0.00089209
111,900.376,1.09793,0.3866,0.00737,0.62238,0.88851,0.8462,0.44399,1.33853,0.63781,0.00873,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
112,908.471,1.12105,0.41444,0.00753,0.66523,0.91743,0.84192,0.42135,1.33813,0.87657,0.00862,0.00267033,0.00089011,0.00267033,0.00089011,0.00267033,0.00089011,0.00267033,0.00089011
113,916.708,1.2033,0.43257,0.00854,0.80868,0.76923,0.86478,0.45466,1.3112,0.76683,0.00835,0.00266736,0.00088912,0.00266736,0.00088912,0.00266736,0.00088912,0.00266736,0.00088912
114,924.784,1.17065,0.41067,0.0077,0.72599,0.8165,0.85296,0.45292,1.17433,0.68582,0.00769,0.00266439,0.00088813,0.00266439,0.00088813,0.00266439,0.00088813,0.00266439,0.00088813
115,932.918,1.07511,0.52049,0.00706,0.98412,0.76923,0.94088,0.48733,1.22266,0.55948,0.00782,0.00266142,0.00088714,0.00266142,0.00088714,0.00266142,0.00088714,0.00266142,0.00088714
116,940.877,1.06687,0.41407,0.00664,0.74668,0.92308,0.93205,0.51121,1.19917,0.59969,0.00772,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615
117,949.028,1.07106,0.3643,0.00779,0.80007,0.92308,0.92964,0.51522,1.16164,0.55192,0.00742,0.00265548,0.00088516,0.00265548,0.00088516,0.00265548,0.00088516,0.00265548,0.00088516
118,957.297,1.06898,0.36622,0.00774,0.73505,0.92308,0.86929,0.47754,1.21305,0.63744,0.00771,0.00265251,0.00088417,0.00265251,0.00088417,0.00265251,0.00088417,0.00265251,0.00088417
119,965.352,1.10228,0.44175,0.00758,0.6879,0.92308,0.87556,0.49107,1.18342,0.68583,0.00741,0.00264954,0.00088318,0.00264954,0.00088318,0.00264954,0.00088318,0.00264954,0.00088318
120,973.645,1.18067,0.47232,0.00879,0.77896,0.84615,0.88836,0.49478,1.23517,0.70274,0.0081,0.00264657,0.00088219,0.00264657,0.00088219,0.00264657,0.00088219,0.00264657,0.00088219
121,981.607,1.06152,0.46193,0.00752,0.66857,1,0.87803,0.4859,1.21773,0.61438,0.00803,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
